location_id;region_id;type_id;is_buy_order;has_gone;scanDate;amount;high;low;avg;orderNum;iskValue
60000316;10000016;439;0;0;2025-07-29;1;44000.00;44000.00;44000.00;1;44000
60000316;10000016;578;0;0;2025-07-29;1;460000.00;460000.00;460000.00;1;460000
60000316;10000016;672;0;0;2025-07-29;14;29000.00;29000.00;27066.67;3;406000
60000316;10000016;1317;0;0;2025-07-29;1;11000.00;11000.00;11000.00;1;11000
60000316;10000016;1319;0;0;2025-07-29;7;527700.00;527700.00;369390.00;2;3693900
60000316;10000016;1405;0;0;2025-07-29;5;900000.00;900000.00;500000.00;2;4500000
60000316;10000016;2456;0;0;2025-07-29;10;670000.00;670000.00;670000.00;1;6700000
60000316;10000016;6001;0;0;2025-07-29;2;50000.00;50000.00;50000.00;1;100000
60000316;10000016;11577;0;0;2025-07-29;1;6800000.00;6800000.00;6800000.00;1;6800000
60000316;10000016;17938;0;0;2025-07-29;3;76000.00;76000.00;57000.00;3;228000
60000316;10000016;22175;0;0;2025-07-29;8;89990.00;89990.00;79991.11;4;719920
60000316;10000016;22177;0;0;2025-07-29;1;89990.00;89990.00;89990.00;1;89990
60000316;10000016;22542;0;0;2025-07-29;3;85000.00;85000.00;85000.00;1;255000
60000331;10000033;1227;0;0;2025-07-29;10000;990.00;990.00;990.00;1;9900000
60000352;10000016;672;0;0;2025-07-29;5;25000.00;25000.00;25000.00;1;125000
60000352;10000016;1228;0;0;2025-07-29;3000;20.40;20.40;13.60;2;61200
60000352;10000016;15331;1;0;2025-07-29;387;380.00;380.00;318.31;5;147060
60000358;10000002;22175;0;0;2025-07-29;1;250000.00;250000.00;250000.00;1;250000
60000364;10000002;17459;0;0;2025-07-29;14000;40.00;40.00;40.00;1;560000
60000367;10000002;3673;0;0;2025-07-29;152164;120.70;120.70;120.70;1;18366195
60000370;10000016;62454;1;0;2025-07-29;32;380.00;380.00;380.00;1;12160
60000370;10000016;62455;1;0;2025-07-29;4979;400.00;400.00;400.00;1;1991600
60000373;10000016;222;0;0;2025-07-29;600;40.00;40.00;40.00;1;24000
60000382;10000070;56068;0;0;2025-07-29;2;5900000.00;5900000.00;5900000.00;1;11800000
60000391;10000070;56068;0;0;2025-07-29;1;7500000.00;7500000.00;7500000.00;1;7500000
60000394;10000002;34;0;0;2025-07-29;231;3.90;3.90;3.90;1;901
60000394;10000002;1230;0;0;2025-07-29;1000;13.00;13.00;13.00;1;13000
60000394;10000002;15589;1;0;2025-07-29;8;0.01;0.01;0.01;1;0
60000394;10000002;15625;1;0;2025-07-29;39;0.01;0.01;0.00;8;0
60000394;10000002;15626;1;0;2025-07-29;33;0.01;0.01;0.00;4;0
60000394;10000002;15627;1;0;2025-07-29;1;0.01;0.01;0.01;1;0
60000394;10000002;15629;1;0;2025-07-29;2;0.01;0.01;0.01;1;0
60000394;10000002;82207;1;0;2025-07-29;16;0.01;0.01;0.01;1;0
60000403;10000002;1230;0;0;2025-07-29;49000;9.29;9.29;9.29;1;455210
60000457;10000002;20;0;0;2025-07-29;16000;1490.00;1490.00;993.33;2;23840000
60000457;10000002;1228;0;0;2025-07-29;3000;98.94;98.94;65.96;2;296820
60000457;10000002;1230;0;0;2025-07-29;1000;49.96;49.96;49.96;1;49960
60000463;10000002;27240;0;0;2025-07-29;1;450000.00;450000.00;450000.00;1;450000
60000469;10000016;2613;1;0;2025-07-29;1000;1.34;1.34;1.34;1;1340
60000472;10000016;45;1;0;2025-07-29;10;1.00;1.00;1.00;1;10
60000478;10000016;34;1;0;2025-07-29;2117625;2.04;2.04;2.04;1;4319955
60000502;10000002;239;1;0;2025-07-29;1;15.04;15.04;15.04;1;15
60000502;10000002;1201;1;0;2025-07-29;2;1000.00;1000.00;666.67;2;2000
60000502;10000002;2464;1;0;2025-07-29;4;100.00;100.00;100.00;1;400
60000502;10000002;2476;1;0;2025-07-29;4;6921.00;6921.00;4614.00;2;27684
60000502;10000002;2549;1;0;2025-07-29;1;2000.00;2000.00;2000.00;1;2000
60000502;10000002;5011;1;0;2025-07-29;3;300.30;300.30;180.12;2;901
60000502;10000002;19929;1;0;2025-07-29;73;5206.00;5201.00;5134.89;27;379982
60000502;10000002;23719;1;0;2025-07-29;2;1000.00;1000.00;1000.00;1;2000
60000508;10000002;672;0;0;2025-07-29;1;26990.00;26990.00;26990.00;1;26990
60000511;10000002;28694;1;0;2025-07-29;1000;55000.00;55000.00;55000.00;1;55000000
60000520;10000002;1182;0;0;2025-07-29;1;25000.00;25000.00;25000.00;1;25000
60000520;10000002;1224;1;0;2025-07-29;26018;43.55;43.55;43.55;1;1133084
60000520;10000002;2203;0;0;2025-07-29;2;5800.00;5800.00;5800.00;1;11600
60000520;10000002;25266;0;0;2025-07-29;1;5200000.00;5200000.00;5200000.00;1;5200000
60000520;10000002;33176;0;0;2025-07-29;1;180000.00;180000.00;180000.00;1;180000
60000520;10000002;33178;0;0;2025-07-29;1;135900.00;135900.00;135900.00;1;135900
60000520;10000002;33180;0;0;2025-07-29;4;164000.00;164000.00;131200.00;3;656000
60000520;10000002;59185;1;0;2025-07-29;3;20100.00;20100.00;15075.00;2;60300
60000520;10000002;59366;1;0;2025-07-29;2;24120.00;24120.00;16080.00;2;48240
60000520;10000002;83347;1;0;2025-07-29;2;400900.00;400900.00;267266.67;2;801800
60000526;10000002;22175;0;0;2025-07-29;1;120000.00;120000.00;120000.00;1;120000
60000541;10000033;1227;0;0;2025-07-29;20000;990.00;990.00;990.00;1;19800000
60000541;10000033;1317;0;0;2025-07-29;3;32320.00;32320.00;24240.00;2;96960
60000541;10000033;2173;0;0;2025-07-29;5;35000.00;35000.00;35000.00;1;175000
60000541;10000033;2464;0;0;2025-07-29;7;4800.00;4800.00;2800.00;2;33600
60000541;10000033;2512;0;0;2025-07-29;2000;8.50;8.50;8.50;1;17000
60000562;10000033;4405;0;0;2025-07-29;5;1639000.00;1639000.00;1639000.00;1;8195000
60000595;10000016;11134;0;0;2025-07-29;1;49000.00;49000.00;49000.00;1;49000
60000595;10000016;16272;0;0;2025-07-29;10237;100.00;100.00;100.00;1;1023700
